artist,song_title,mfccs_mean
1974 A.D,Chhudaina Timro Mayale,"[-260.01824951171875, 131.1795654296875, -61.90312576293945, 16.127689361572266, -6.665011405944824, -2.005924701690674, -5.857110500335693, -14.58520793914795, -11.412405967712402, -30.206716537475586, -11.893994331359863, -10.71827507019043, -15.8313627243042]"
1974 A.D,Chudaina,"[-256.1219482421875, 128.0784912109375, -70.1772689819336, 21.086284637451172, -5.6447625160217285, -2.509115695953369, -6.095274925231934, -13.589262008666992, -9.476682662963867, -30.697805404663086, -12.648253440856934, -12.126994132995605, -15.36658000946045]"
1974 A.D,Gurans Fulyo,"[-320.24981689453125, 105.65392303466797, -50.67074203491211, 25.990903854370117, -45.08309555053711, -26.433507919311523, -0.18917158246040344, -10.595660209655762, 11.362648963928223, -15.870603561401367, -27.20370864868164, -13.084879875183105, -1.0638865232467651]"
1974 A.D,Pahilo Junima,"[-289.5390319824219, 113.54983520507812, -96.82124328613281, 11.64819622039795, -28.536056518554688, -8.676596641540527, -8.712438583374023, -17.437475204467773, -3.1326308250427246, -23.40902328491211, -1.9493125677108765, -6.606109142303467, -20.736236572265625]"
1974 A.D,Parelima,"[-249.0830841064453, 138.68557739257812, -63.8565788269043, 26.511798858642578, -22.11525535583496, -17.714427947998047, -0.8470240831375122, -17.437448501586914, -14.077497482299805, -25.3233699798584, -18.822437286376953, -8.96426773071289, 4.796653747558594]"
1974 A.D,Yo Mann Ta Mero Nepali Ho,"[-283.63543701171875, 109.70846557617188, -79.9599609375, 3.347562074661255, -40.63787841796875, -4.679104328155518, -8.714518547058105, -12.533252716064453, 9.414851188659668, -28.28473663330078, -7.947355270385742, -5.5187764167785645, -21.43678855895996]"
Adrian Pradhan,Hindda Hinddai,"[-277.6639099121094, 110.61329650878906, -56.18579864501953, 21.456336975097656, -29.326215744018555, -2.010395050048828, -8.160998344421387, -9.18456745147705, 15.188629150390625, -21.106054306030273, -6.959800720214844, -5.706538200378418, -17.257183074951172]"
Akash Khadka,Timi Bhayera,"[-272.7655334472656, 126.94205474853516, -54.92319869995117, 16.31947135925293, -20.729686737060547, 19.87192153930664, -28.68350601196289, -15.286982536315918, 17.363754272460938, -47.2543830871582, -9.617368698120117, -3.5611255168914795, -10.111059188842773]"
Albatross,Abhimaan,"[-312.5414733886719, 88.56229400634766, -103.2936782836914, 25.03120231628418, -32.12494659423828, -24.3482666015625, -11.91207504272461, -10.142240524291992, -7.967747688293457, -29.319520950317383, -11.6802339553833, -11.366510391235352, -0.37487339973449707]"
Albatross,Bachau,"[-323.5804138183594, 81.64625549316406, -90.70496368408203, 15.389444351196289, -29.971527099609375, 15.590627670288086, -25.397178649902344, -28.00570297241211, 2.515139102935791, -26.438838958740234, 0.3672880530357361, -18.829038619995117, -9.012575149536133]"
Albatross,Khaseka Tara,"[-337.6586608886719, 115.22129821777344, -83.49959564208984, 3.036775588989258, -3.306330442428589, 4.23127555847168, -18.29447364807129, -13.991198539733887, -11.021448135375977, -28.380306243896484, -7.813292980194092, -20.564252853393555, -11.365915298461914]"
Albatross,Timi Bhane,"[-315.70263671875, 108.02532196044922, -94.80895233154297, 13.564852714538574, -9.080560684204102, -1.9855263233184814, -29.41602897644043, -15.214066505432129, 2.2035939693450928, -27.153223037719727, -6.785156726837158, -13.892359733581543, -9.523680686950684]"
Amit Gurung-nepathya,Resham,"[-308.62872314453125, 101.51057434082031, -77.37169647216797, 29.053728103637695, -34.3614501953125, 13.340883255004883, -19.77203369140625, -23.68807029724121, 5.877560138702393, -39.56846618652344, -19.408355712890625, -10.53146743774414, 2.745811939239502]"
Anju Panta,Ghin Ghin Madal(Panche Baja),"[-274.75421142578125, 105.54058837890625, -65.4627685546875, 17.33930015563965, -25.305999755859375, 26.606990814208984, -28.83392906188965, -26.264535903930664, 5.784894943237305, -39.828269958496094, -1.2989593744277954, -10.798330307006836, -11.003390312194824]"
