,Chhudaina Timro Mayale,Chudaina,Gurans Fulyo,Pahilo Junima,Parelima,Yo Mann Ta Mero Nepali Ho,Hindda Hinddai,Timi Bhayera,Abhimaan,Bachau,Khaseka Tara,Timi Bhane,Resham,Ghin Ghin Madal(Panche Baja),Ma Yesto Geet Gaunchhu-Duet,Harek Saas Sita,Khaali,Khula Aakash,Muskuraye,Sa Re Ga Ma Pa,Sabai Thikai Huncha,Tana Mann Bachanle,Aashish,Asaar,Deorali Darah,Junkeri,Neela Akash,Ram Sailee-Ode To My Father,WildFire(Dadhelo),Man Magan,Wora Para,Gajalu Ti Thula Thula,Timilai Ma Ke Bhanu,Baneko Chha Paharale,Bhok Lagyo,Ma Kasari Bhanu,Mero Topi,Nepali Nepalko,Chyangba Hai Chyangba,Ma Bhakta Hu Yo Desh,Kaha Hola Ghar,Dekhe Pachhi,Harsha Ko Geet,Aankhama,Raat Bityo,Sanjha Pakha,Timile Herda,Yaad Sanchi Samjhana,Yo Samjhine Maan Chha,Aanshu Ra Suskera Ka,Dharti Ko Chhati,Ghamma Pani Maya,Him Shrinkhalama,Nepali Hami,Sunsan Prakirti Ko,Timile Diyeka,Timile Jatinai Maya,Yo Chhoto Jeevan Ma,Hamro Nepalma,Hitaiko Maya,Kholai Khola,Saajha Ma Aunu (Maya ko Chino),Yesto Pani Hundo Raichha,Lekhideu Timro Nam,Aagya - Official,Bhumari,Daagbatti,Hey Bhagwan,Soch,Sagarsari Chokho Maya,Timilai Dekhera,Bigrau Jasto Lagchha,Bistarai,Pani Paryo,Timra Dui Aankhama,Akorinchhu,Daya Baya,Kahan Dekhi Kahan Samma,Malai Angali Deu,Paisa,Samarpan,Samjhanchu,Bujhideu,Chaar Dewar,Hera Na,Thamana Haat,Maya Meri Maya,Suna Suna Sundari (From Nango Gaun),Aansu Ko Artha,Fewa Talma Saili,Fulai Fula Dinchhau ki - Remake Version,Mangali,Nabheti Nabheti,Pilayo Sathile,Dashain Tihar,Kasham Ho Kasham,Pheri Tyo Din,Runna Bhanthe,Timi Royeko Pal,Chumera Sugandhi Phool,Je Chhau Timi,Kasari Bhanu,Timro Aankha,Bhanchhan Lognemanchhe,Jaba Sandhya Hunchha
Chhudaina Timro Mayale,0.9999999999999998,0.9993314712662607,0.9731823157534726,0.9877993265005329,0.9927394101323032,0.9851899033673924,0.9884874069467993,0.9868717214308779,0.9721885876105433,0.9684218959569273,0.9881484627531613,0.9850931876289318,0.9801897692204062,0.9829985874545409,0.9861052600335586,0.9820532671484686,0.9835547691030622,0.9602777795258557,0.9519702932791023,0.962735714321147,0.946844394984584,0.975220900917379,0.9770460459373621,0.9776642298088186,0.9752076837024546,0.9824041309826824,0.9663602759719202,0.9765965606397794,0.9751092321609911,0.9797172971138505,0.9700958327848822,0.9920465610266637,0.9589678663045211,0.9629233409750994,0.958998052512153,0.9817614687022745,0.9875851111334893,0.9900234883781273,0.9789845502814218,0.993845797177115,0.985415384719774,0.9793217919383905,0.9727525686887847,0.9678679588232859,0.966993522688444,0.976046618144184,0.9643195327049718,0.995946729979927,0.9805262315532308,0.9568104009335389,0.9169461219581656,0.9803895395099043,0.9683490780532689,0.9810849151446047,0.9755157753205148,0.929779722543776,0.9705638926231692,0.956261791445369,0.9686881211502052,0.9812715260852489,0.9850880746612711,0.9629594732497149,0.9714157274114241,0.9734345353712791,0.9725525631456884,0.9672815813876389,0.962005754847052,0.9710716145301937,0.9730573409767636,0.9835373526069369,0.9906139025058378,0.9553445495629557,0.9692933680083745,0.9953161655928517,0.9929542824527183,0.9825300324016562,0.9740317526577366,0.9582589578519537,0.9544131900179205,0.9825107213361786,0.9774082512677674,0.9811250050838983,0.9867358728290795,0.9799409502245607,0.9798892279706652,0.9851713148330935,0.9265402303430263,0.9688633432262176,0.9890861630052157,0.991967573906853,0.9839332789017192,0.9777516485215808,0.9590683404939712,0.9820351708147085,0.9886145555967267,0.9832532016830544,0.9571129609709649,0.9872038886486983,0.9879491829293934,0.9706863840728116,0.9837454929294602,0.9921145372524485,0.9583956617365306,0.96770302265408,0.9895473546554797
Chudaina,0.9993314712662607,1.0000000000000002,0.9719444210289979,0.9896750852888658,0.9927878246300116,0.9855230771011789,0.9878496985191704,0.9858297891071895,0.9755776479630721,0.9700460830455065,0.9879794672247639,0.9869890873990902,0.9814819963879904,0.9829827287739382,0.9879297724095973,0.9817214332160754,0.9851934272264046,0.9611331272150457,0.9535130683003165,0.961846993949527,0.9519546525267482,0.9767196451188729,0.9746916957863883,0.9764568712675514,0.971356429365718,0.9815102818771012,0.9626890659256188,0.9744178932126467,0.9715857224031397,0.9782843423324987,0.9632741751561016,0.989030539777299,0.9557393348389287,0.9535656373170939,0.9634681723605365,0.9793573785417365,0.9835038404704309,0.9877312609497481,0.9768418912465274,0.9947630902629744,0.9832541428596774,0.9761052508789753,0.9718556710331727,0.9637858237819646,0.9629237430620294,0.9741254362399329,0.963912722046286,0.9955620877099899,0.9797682982872716,0.9558261787741849,0.9103169546236596,0.9767927574313863,0.9696528335993753,0.977345190135847,0.9731525610884301,0.9235778964842324,0.9690992230828,0.9543606087261279,0.9671946664155112,0.980828571722364,0.9837297019967027,0.9612816072190513,0.9691492962672557,0.973283958015231,0.9694345824527759,0.9633120013170523,0.9572591131496232,0.9663366808828232,0.9696516726369083,0.985210536447656,0.9906996816938584,0.9582510231330501,0.9707988528922451,0.9934338522331762,0.9909675368253416,0.9836353804385829,0.9728134127851735,0.9577749290455969,0.9575670166952986,0.9809073319678697,0.9744951646326032,0.9807932792928421,0.981901963321636,0.9734818881823408,0.9807640118515829,0.983672087946782,0.9213100790348312,0.9670646750248642,0.9883240827615277,0.9922300612823083,0.9834316283603526,0.9778212012323116,0.9613397884937795,0.9863958155493094,0.9894683074702164,0.9826888483469627,0.9635564801568891,0.9905466979361648,0.9877991177123853,0.9660651646573376,0.9814294988880433,0.9885287912039802,0.9517997183612208,0.9699080160909357,0.9912931429554568
Gurans Fulyo,0.9731823157534726,0.9719444210289979,1.0000000000000002,0.9780140864136685,0.9744804053602665,0.9842660491435867,0.990723377525781,0.9692207648976379,0.9824493969459855,0.9743638291810421,0.9775560309927289,0.9770572452580258,0.984180435693324,0.9696035085693138,0.9749034230877323,0.9731269304437095,0.9687836995175622,0.9611384641902943,0.9640101676440466,0.9768410352983891,0.9529338608679088,0.9248123969091167,0.9875754212670865,0.9759890221405694,0.9864336099344543,0.988517093090153,0.9830910927621169,0.9835897597392858,0.9842540635937626,0.9787016199173064,0.9769201611655861,0.9784933402624367,0.9809985923026803,0.931188023088822,0.9363545697759681,0.9581956038720969,0.9451992899094805,0.9625114082719812,0.9619729268783629,0.9631089249336383,0.9848558286156003,0.9772813422542488,0.9806645349560793,0.972850331015159,0.9670419735495437,0.9744319140371835,0.9734111766710748,0.9799560484700235,0.9605468288732437,0.9806547834803907,0.9518579319731265,0.9726763618832132,0.9762710593377203,0.9406951634303163,0.9815317401208242,0.9654968090292471,0.9775864157743293,0.9690202008737584,0.9807182426435672,0.9739018516480754,0.9836589363609821,0.9750661281240053,0.9701353487139667,0.9731538623435307,0.9677167517305315,0.9776532546846253,0.9792273546455885,0.9769989230115431,0.9720190123026367,0.979786077138699,0.9896489064702835,0.9600109907711423,0.9715512150464152,0.980047113602768,0.9880654808458149,0.9853422826339894,0.9914714467205453,0.9879146210583406,0.9698049561789691,0.9883344705467717,0.9931124790896859,0.993593315460888,0.9752350846749933,0.9534205192049214,0.9712649569132275,0.9669211057115329,0.955348050360792,0.9740003391883516,0.9926912897376656,0.9729289742651148,0.9857088983151352,0.9757744648721097,0.9719419229277038,0.9580674529801402,0.9760867890510485,0.9879469449386055,0.964352546883751,0.970276669215671,0.9808313761545733,0.97388407539733,0.9823071242390934,0.9758908641447667,0.9674124526068898,0.9769109436880647,0.9713896887410762
Pahilo Junima,0.9877993265005329,0.9896750852888658,0.9780140864136685,1.0000000000000002,0.9805997969731557,0.9966023027973934,0.9904402075334662,0.9785143781560018,0.9912034405845994,0.9867933094440119,0.9905620441601992,0.9939856360742,0.9869641437324357,0.9847523507548352,0.9882330805999939,0.9838204402882174,0.9896494874969551,0.980785631625561,0.9689654900503508,0.9710115504250899,0.976458014225508,0.9560348216009908,0.9696860805844263,0.9699877333645486,0.9682883247374763,0.9747139488112359,0.954488586725192,0.9666953551230593,0.9637602068916213,0.980512343826734,0.9559761865791554,0.9720589328116244,0.9561828516219857,0.9244879866787113,0.9783773014738079,0.9628091998071802,0.95797903592563,0.9731218645828631,0.9775923617510102,0.9788194396582423,0.9868051297326701,0.979832141034992,0.9859856852808828,0.9641613546847,0.9592443009339665,0.9714675516194621,0.9599120786687936,0.9920752304700015,0.9651011812065322,0.969131825372363,0.9144970709962011,0.9741731645948956,0.9823960540786361,0.949812944952865,0.9714147183692305,0.9326480047744438,0.9769697187630386,0.9663481567875307,0.9620139541882236,0.9779186363102158,0.9782911728629295,0.9535090251966366,0.9577156657658775,0.9816563956402504,0.9774083416960424,0.9702732779881581,0.9659604674068322,0.969308486584245,0.9752362061742152,0.987042761391135,0.9889150109375395,0.9600672572585774,0.9714119388195066,0.9826302797647385,0.9835114199717289,0.9940014708637444,0.9873395277913496,0.9763922103579027,0.9749327689163843,0.9847968240443858,0.9778822160804265,0.9853996163636999,0.973417758007544,0.9569381566077005,0.9750246430434294,0.978753875738489,0.9199575708168984,0.970444182813694,0.9872893238573249,0.981980383462168,0.9817368818143274,0.9738655664466238,0.9612115773633503,0.9849983399551857,0.9808898723108653,0.9844976674353374,0.9763670473760307,0.993477526332245,0.9902380692441456,0.9617400233755563,0.9730987891487921,0.9735826738409056,0.9390254927652845,0.9793295872321021,0.9891537303567582
Parelima,0.9927394101323032,0.9927878246300116,0.9744804053602665,0.9805997969731557,1.0000000000000002,0.9773356310687481,0.9808793110060475,0.9752505858516111,0.9700292196446441,0.9543503244318264,0.9733290946528234,0.973214520176099,0.9740578208472448,0.9690909031266699,0.9780179924835719,0.9644798380171936,0.9685936278075516,0.9406814275492844,0.9368442466816813,0.9472576676165381,0.9354015127316673,0.9613178823917282,0.9688008567265269,0.9617915155297153,0.9638977167325231,0.9796193420742835,0.9579914147742093,0.9674415385251816,0.9672024514688576,0.9658319731702483,0.9597444264193817,0.9853475464173246,0.9464820717174651,0.947704695260178,0.9488181280358498,0.9666738634356046,0.9753413939657098,0.9751775650381155,0.9636846135095767,0.992382594213778,0.9749512491167559,0.9742262838847082,0.9563533298427034,0.9489946772966007,0.9429260495624036,0.9575310608478044,0.9518099937013322,0.9848995751249872,0.9641299150382744,0.9405681636677224,0.8956979979387613,0.9634379921698515,0.9521338004494876,0.9653091686131716,0.961037051371408,0.9098185448120271,0.9546535164164872,0.936981219484592,0.9604506157443913,0.963804635729399,0.9767002943285407,0.9523897546203673,0.9544672748738939,0.9561629875963646,0.9548289262515766,0.9477870489551663,0.9438665804615161,0.9516600549913711,0.9538205572046217,0.9747388382676564,0.9885951281853308,0.9390006958541539,0.9573694704923742,0.989413232826636,0.9893883005705395,0.9756404007518868,0.9691704679555768,0.9520976784032713,0.9543795697421226,0.9757258185708333,0.9701371006123014,0.974621718492046,0.971748468703742,0.9606230247828493,0.9603480018827969,0.9761300803039704,0.9045199708223041,0.9489389842302695,0.9836598633810699,0.9821875572974244,0.9778578865825329,0.9613081389037396,0.9473603147765011,0.9758932896486693,0.9865798113881968,0.9764963926151226,0.9620242727252234,0.9855937920182094,0.9801794840371986,0.9514365401111876,0.972944577668738,0.9837409734247171,0.9424069052034824,0.9553487325747633,0.9866465367216507
Yo Mann Ta Mero Nepali Ho,0.9851899033673924,0.9855230771011789,0.9842660491435867,0.9966023027973934,0.9773356310687481,1.0000000000000002,0.9946776266277574,0.984353041116242,0.9870486388915104,0.9860679585618797,0.9880503834154262,0.990516160784103,0.9891596764837141,0.9871835123694842,0.9871333726838606,0.9801090546605713,0.9865408853099538,0.9790694013800918,0.9664429926761947,0.9714230690259067,0.9712762046871686,0.9441131395806021,0.9722993684998246,0.9673456416739756,0.9726337804742775,0.9767357477485544,0.9593119626632154,0.9693554900862248,0.9681378988094403,0.9847578910541838,0.9674322768550865,0.9716574961348131,0.9611368561864029,0.9311664623830805,0.963800417786533,0.9598904307241471,0.9578499280818409,0.9688317879553832,0.9735528589369992,0.9763994064303866,0.9876864503793726,0.9781090109484658,0.9887882447308493,0.9663565820847121,0.9623456203259468,0.9714194954767198,0.9549879034671721,0.9904114856907243,0.9595227409682981,0.9706342536505479,0.9210833395001421,0.9765561562504954,0.980845200850031,0.9461241303811754,0.9713860626197688,0.9418926225992774,0.9759560450172021,0.9660929437993542,0.9693088672167001,0.9790502176114182,0.9835781686534263,0.9586387939950817,0.9576782836602061,0.9800571499230712,0.9811564928099592,0.9780258478016433,0.9738805226161087,0.9754628791240167,0.9801610611193016,0.984971579274923,0.9886722753437266,0.9560275894330683,0.972042892722961,0.9848708689946363,0.9865257884526977,0.9956264854618784,0.9896129565898498,0.9794945909762743,0.9763874897824267,0.9916802753811826,0.982739024021787,0.9876097671100776,0.980906456414532,0.9603701090727783,0.9744970107835325,0.9860272857481337,0.9287523335314899,0.9723926971538908,0.9903810557900078,0.9810151650646073,0.9846343043218996,0.9743892760463703,0.9596383081649964,0.9794741903516354,0.9828812792234812,0.9889424481033395,0.9744426152689357,0.988762065064389,0.9913315113617559,0.9658425388727413,0.9764431240046353,0.9761710067690859,0.9484342056186662,0.9740117494650381,0.9873823365420552
Hindda Hinddai,0.9884874069467993,0.9878496985191704,0.990723377525781,0.9904402075334662,0.9808793110060475,0.9946776266277574,0.9999999999999998,0.9893868613615956,0.9814559659557679,0.982684366859284,0.9876093198932536,0.9885894601923247,0.9903163613594069,0.988337187557594,0.9881251925648671,0.9839981671962653,0.9824982971052485,0.969881420638706,0.9683336319103562,0.9775151544113497,0.9629385880753084,0.9484135915043951,0.9871035831308191,0.9802357846238569,0.9859809448692464,0.9908370339984585,0.978924612431035,0.9864292235616925,0.9849706962806388,0.9877714985647157,0.9775901299549496,0.9833479945028641,0.9743200958483877,0.9455254622738302,0.9486121933266645,0.9683263205642918,0.9659405859202416,0.9755329266839096,0.9700944989367104,0.980447610929708,0.9919534676612726,0.9760624454190778,0.986103700559562,0.9751297566415732,0.974155488554951,0.9836664545279773,0.9707145249985655,0.9947900540352025,0.9711514048895257,0.9739557175238591,0.9389103828229454,0.9768716595956228,0.978069477455226,0.9592457677558573,0.9780242134818935,0.952961807562069,0.976880567106868,0.9650242346437395,0.9854489159077653,0.9880890141278933,0.9944811375308765,0.9788434461287834,0.9756648408255895,0.9767719748805369,0.9763899543484865,0.9802212158184721,0.9802893044437669,0.9824276576088058,0.97980143281881,0.9892775622292524,0.9939184695331271,0.9702954465672887,0.9824183261708803,0.9922200618565649,0.9947627614793728,0.9932591626908875,0.9882605770286909,0.981011513063414,0.975006451560336,0.993061031261533,0.9888342516665584,0.9923383502414974,0.9886494178989795,0.9667919890591485,0.9854421882752734,0.9865105539365847,0.9502046325751234,0.9811832739817401,0.9963433085101899,0.9892767252021754,0.9920424418246325,0.9862372780701183,0.9746012940673295,0.9772071258884258,0.9888912039638678,0.99309892459974,0.9710718371249296,0.9850704986655177,0.9896800103789902,0.9748866450283913,0.990134908004646,0.9865949739745932,0.9692327332129775,0.9787432310713882,0.9874285703330729
Timi Bhayera,0.9868717214308779,0.9858297891071895,0.9692207648976379,0.9785143781560018,0.9752505858516111,0.984353041116242,0.9893868613615956,1.0,0.963490692333959,0.9739080543316001,0.9811395060916622,0.9826191977798878,0.9874334169355324,0.9945532270669775,0.989887102738729,0.9770158141120999,0.9789637852670245,0.9596999677541475,0.9567696279751794,0.963260811182939,0.952373106088111,0.9540235969347776,0.9710269304523315,0.9678142622724181,0.9726853255148177,0.9773215892406216,0.9620700265495894,0.9758215566254808,0.9699794497015413,0.9886246780439973,0.9754834199599237,0.976330074352304,0.9563228960309655,0.9545345971309076,0.9361093529043164,0.9665050462090063,0.976841751554216,0.9752470932115588,0.9595936331980033,0.983259092812308,0.9827565541899618,0.9570054410380564,0.9745062814423499,0.9626134258972563,0.967903187790478,0.975133510087258,0.9517109149794691,0.9893824738310628,0.9646073245720923,0.9517873992944262,0.9154780691048595,0.9705880222245092,0.9650538865018012,0.9622141353673209,0.9617940702644487,0.9322724052219173,0.9607864861649404,0.9460988675098596,0.9798488661974825,0.9868265968263616,0.990744325993771,0.9701695438457074,0.966746785122591,0.966659983032584,0.9686563646371259,0.9686799983898835,0.9659439229454785,0.9717819130836765,0.9730637334855381,0.9828977569559529,0.9840042729621087,0.9600373544244036,0.9779796170545385,0.9903580240362527,0.989635464658655,0.9861808304518643,0.9692613046066019,0.9598000207788514,0.9626470328999456,0.9867880295188018,0.9716490848184793,0.9769821857327752,0.9905121173263736,0.9695635293384378,0.9827154176787527,0.9971707282550374,0.9385203151100571,0.973672462338883,0.9877215740339679,0.9942376886953661,0.9894422983983054,0.9841332747896893,0.9635616738148455,0.9837055145613287,0.9938279542891312,0.9864452215436622,0.9619328558474375,0.9832458734688364,0.9870610874406274,0.966450459768914,0.9859873036637736,0.9862359178370061,0.9627347478345333,0.9612462713943564,0.9879760175544036
Abhimaan,0.9721885876105433,0.9755776479630721,0.9824493969459855,0.9912034405845994,0.9700292196446441,0.9870486388915104,0.9814559659557679,0.963490692333959,1.0,0.9881281946239888,0.9858384686523092,0.9910873658196001,0.9877857621255991,0.9739534483867793,0.984023810310446,0.982282041111682,0.9866869110875387,0.9832037788022748,0.979845368709331,0.9796153616778692,0.9840063119583111,0.9362518425379918,0.9706815732261139,0.9708385671803957,0.9675466555248542,0.9713356256721551,0.9576304560288069,0.9646551843534803,0.9597098816396807,0.9758764077488301,0.9494596647550374,0.9627184572830226,0.9588721610644695,0.897628630650141,0.9757148069531448,0.9514819036667678,0.9332147148371785,0.9601216774536168,0.9691348299528384,0.9605161238570407,0.9807001577966766,0.9707088740895765,0.9869276427551431,0.9628776509467429,0.9564700654725415,0.9690214586514396,0.9682380932062121,0.9799143740263786,0.956408064613288,0.9789067374803363,0.927150728659653,0.9678005266548777,0.9902858457281937,0.9287800913920672,0.9746064267487803,0.9424911974381444,0.9790715862728941,0.9724563085023598,0.9595420588024502,0.9707283462537784,0.967485985711799,0.9531935088603924,0.957873882950266,0.9826856787898318,0.9706527947737694,0.9691877093353951,0.9657970731734415,0.9648155777569773,0.9708920956532717,0.9870604153998335,0.9870033959695341,0.965145290365716,0.9686966258386258,0.9663686812200254,0.9730635357846844,0.9924219337643868,0.9902556770380345,0.987550077178805,0.9787662774628187,0.9804706212100933,0.9804882120661718,0.9897975432841748,0.9572595169900893,0.937795033888322,0.971399705754288,0.9596662841515733,0.9303802058501877,0.9713172009864891,0.9846502937024626,0.9722580396303647,0.9799357444288188,0.9730397997773877,0.971394141347846,0.9778202611867776,0.9716510021875124,0.9823410768019416,0.982568106722202,0.98569384004998,0.984831180738131,0.961428763522799,0.9670206196973566,0.9594577099892969,0.9332877876698344,0.9878361692533724,0.9788319644537352
Bachau,0.9684218959569273,0.9700460830455065,0.9743638291810421,0.9867933094440119,0.9543503244318264,0.9860679585618797,0.982684366859284,0.9739080543316001,0.9881281946239888,1.0000000000000002,0.9901204217336503,0.9927723662713103,0.9927317408521941,0.9895548227034919,0.9890224866744587,0.9876207689375543,0.9854187349189486,0.9902806761771776,0.9868389196940351,0.9850077290493701,0.988093595001329,0.9335433460270548,0.9719600813326602,0.9742969842658736,0.9753905689172776,0.9720830431926782,0.9598262642463951,0.9736569175571149,0.9659933130972637,0.9906987674238739,0.9586817896796176,0.9610237678566663,0.9694489245311495,0.9077547884524049,0.9633187811295176,0.952023859081545,0.9362038000732605,0.9625361655618964,0.9654407979790732,0.9519876449069504,0.9889332152708131,0.9694946796010001,0.9916002554033965,0.9700837512836985,0.9724442313007489,0.9785813259052591,0.9650445717103753,0.9801122934681699,0.9618360081515065,0.9821679799284002,0.9399421681664246,0.9694745159787974,0.9922538309042794,0.9283620028257086,0.9724410400540184,0.9560650026555543,0.9816442810006146,0.9776070920595001,0.9716821360819903,0.9871623210921018,0.978391017450752,0.9651648865590178,0.9648956756575289,0.9893205222921352,0.971152761640135,0.9748779122824471,0.9749524521389158,0.9741232373203706,0.9755892036438911,0.9899318901455761,0.9803335084050088,0.9788592446221309,0.9855011536598772,0.9693087275588794,0.9742465073114256,0.9904878624779679,0.9889896030987639,0.9890145970209374,0.980013616943067,0.9849993269921449,0.9787510444604356,0.9866272620764948,0.9687538356187094,0.9475019241070916,0.9797165903030773,0.970220638976449,0.9486214321776153,0.9878963744287762,0.9847353449006735,0.9780959320725335,0.9852054481814685,0.9848793058570765,0.9777490638331657,0.9802340846255433,0.9745980334589714,0.9868309295355018,0.9707997012718274,0.9822756150633685,0.9885936305138957,0.9678999106471737,0.978035130078088,0.9664875210975792,0.9521427289590535,0.9902461836911238,0.9798135823799939
