id,artist,song_title,genre,mood,lyrics,audio_features,gender,danceability_tag
1,1974 A.D,Chhudaina Timro Mayale,Pop,Romantic,songdata\1974 A.D\output\Chhudaina Timro Mayale\Chhudaina Timro Mayale_segments.csv,songdata\1974 A.D\output\Chhudaina Timro Mayale,Band,Medium
2,1974 A.D,Chudaina,Pop,Romantic,songdata\1974 A.D\output\Chundaina\Chundaina_segments.csv,songdata\1974 A.D\output\Chundaina,Band,Medium
3,1974 A.D,Gurans Fulyo,Rock,Happy,songdata\1974 A.D\output\Gurans Fulyo\Gurans Fulyo_segments.csv,songdata\1974 A.D\output\Gurans Fulyo,Band,High
4,1974 A.D,Pahilo Junima,Adhunik,Happy,songdata\1974 A.D\output\Pahilo Junima\Pahilo Junima_segments.csv,songdata\1974 A.D\output\Pahilo Junima,Band,Medium
5,1974 A.D,Parelima,Folk,Happy,songdata\1974 A.D\output\Parelima\Parelima_segments.csv,songdata\1974 A.D\output\Parelima,Male,High
6,1974 A.D,Yo Mann Ta Mero Nepali Ho,Rock,Happy,songdata\1974 A.D\output\Yo Mann Ta Mero Nepali Ho\Yo Mann Ta Mero Nepali Ho_segments.csv,songdata\1974 A.D\output\Yo Mann Ta Mero Nepali Ho,Male,High
7,Adrian Pradhan,Hindda Hinddai,Rock,Sad,songdata\Adrian Pradhan\output\Hindda Hinddai\Hindda Hinddai_segments.csv,songdata\Adrian Pradhan\output\Hindda Hinddai,Band,Low
8,Akash Khadka,Timi Bhayera,Adhunik,Romantic,songdata\Akash Khadka\output\Timi Bhayera\Timi Bhayera_segments.csv,songdata\Akash Khadka\output\Timi Bhayera,Band,Medium
9,Albatross,Abhimaan,Rock,Reflective,songdata\Albatross\output\Abhimaan\Abhimaan_segments.csv,songdata\Albatross\output\Abhimaan,Band,Medium
10,Albatross,Bachau,Rock,Sad,songdata\Albatross\output\Bachau\Bachau_segments.csv,songdata\Albatross\output\Bachau,Band,Low
11,Albatross,Khaseka Tara,Rock,Reflective,songdata\Albatross\output\Khaseka Tara\Khaseka Tara_segments.csv,songdata\Albatross\output\Khaseka Tara,Male,Medium
12,Albatross,Timi Bhane,Rock,Romantic,songdata\Albatross\output\Timi Bhane\Timi Bhane_segments.csv,songdata\Albatross\output\Timi Bhane,Female,Medium
13,Amit Gurung-nepathya,Resham,Adhunik,Romantic,songdata\Amrit Gurung-nepathya\output\Resham\Resham_segments.csv,songdata\Amrit Gurung-nepathya\output\Resham,Mixed,Medium
14,Anju Panta,Ghin Ghin Madal(Panche Baja),Folk,Festive,songdata\Anju Panta\output\Ghin Ghin Madal (Panche Baja)\Ghin Ghin Madal (Panche Baja)_segments.csv,songdata\Anju Panta\output\Ghin Ghin Madal (Panche Baja),Female,High
15,Anju Panta,Ma Yesto Geet Gaunchhu-Duet,Folk,Happy,songdata\Anju Panta\output\Ma Yesto Geet Gaunchhu - Duet\Ma Yesto Geet Gaunchhu - Duet_segments.csv,songdata\Anju Panta\output\Ma Yesto Geet Gaunchhu - Duet,Female,High
16,Astha Tamang-Maskey,Harek Saas Sita,Folk,Reflective,songdata\Astha Tamang-Maskey\output\Harek Saas Sita\Harek Saas Sita_segments.csv,songdata\Astha Tamang-Maskey\output\Harek Saas Sita,Female,Medium
